Country,Year,CO2_emission,CO2_emission_pre,Population,Density,Area,GDP,real_GDP,Temperature
United States,1961,122000000000.0,119000000000,183691000,19.59870302935895,9372610.0,562.2,3345.7,51.87
United States,1962,125000000000.0,122000000000,186538000,19.90246046725512,9372610.0,603.9,3550.7,51.9
United States,1963,128000000000.0,125000000000,189242000,20.19096068224326,9372610.0,637.5,3705.3,52.26
United States,1964,131000000000.0,128000000000,191889000,20.473379346841487,9372610.0,684.5,3918.8,51.67
United States,1965,135000000000.0,131000000000,194303000,20.730938340547617,9372610.0,742.3,4173.4,51.69
United States,1966,138000000000.0,135000000000,196560000,20.971746397214865,9372610.0,813.4,4448.7,51.49
United States,1967,142000000000.0,138000000000,198712000,21.201351597900693,9372610.0,860,4570.7,51.76
United States,1968,146000000000.0,142000000000,200706000,21.414099167681147,9372610.0,940.7,4795.4,51.32
United States,1969,150000000000.0,146000000000,202677000,21.62439277853234,9372610.0,1017.6,4945.2,51.5
United States,1970,154000000000.0,150000000000,205052000,21.87779071144537,9372610.0,1073.3,4954.4,51.61
United States,1971,159000000000.0,154000000000,207661000,22.15615500911699,9372610.0,1164.9,5117.6,51.66
United States,1972,163000000000.0,159000000000,209896000,22.394615800721464,9372610.0,1279.1,5386.7,51.37
United States,1973,168000000000.0,163000000000,211909000,22.609390553965223,9372610.0,1425.4,5690.9,52.29
United States,1974,173000000000.0,168000000000,213854000,22.816910124287684,9372610.0,1545.2,5660.1,52.26
United States,1975,177000000000.0,173000000000,215973000,23.04299442737935,9372610.0,1684.9,5648.5,51.5
United States,1976,182000000000.0,177000000000,218035000,23.262997180081108,9372610.0,1873.4,5952.8,51.47
United States,1977,187000000000.0,182000000000,220239000,23.4981504618244,9372610.0,2081.8,6228.1,52.55
United States,1978,192000000000.0,187000000000,222585000,23.74845427260923,9372610.0,2351.6,6572.8,51.04
United States,1979,197000000000.0,192000000000,225055000,24.011988122838783,9372610.0,2627.3,6780.9,50.88
United States,1980,202000000000.0,197000000000,227225000,24.243513813121425,9372610.0,2857.3,6763.5,52.39
United States,1981,206000000000.0,202000000000,229466000,24.48261476792484,9372610.0,3207,6935.2,53.12
United States,1982,211000000000.0,206000000000,231664000,24.71712788646919,9372610.0,3343.8,6810.1,51.34
United States,1983,215000000000.0,211000000000,233792000,24.944172434359267,9372610.0,3634,7122.3,51.88
United States,1984,220000000000.0,215000000000,235825000,25.16108106493282,9372610.0,4037.6,7637.7,51.97
United States,1985,224000000000.0,220000000000,237924000,25.385031490694693,9372610.0,4339,7956.2,51.3
United States,1986,229000000000.0,224000000000,240133000,25.62071824177044,9372610.0,4579.6,8231.7,53.32
United States,1987,234000000000.0,229000000000,242289000,25.850750217922226,9372610.0,4855.2,8516.4,53.33
United States,1988,239000000000.0,234000000000,244499000,26.08654366286445,9372610.0,5236.4,8872.2,52.63
United States,1989,244000000000.0,239000000000,246819000,26.33407343312055,9372610.0,5641.6,9198,51.84
United States,1990,249000000000.0,244000000000,249623000,26.633243034757665,9372610.0,5963.1,9371.5,53.51
United States,1991,254000000000.0,249000000000,252981000,26.991521038430065,9372610.0,6158.1,9361.3,53.16
United States,1992,259000000000.0,254000000000,256514000,27.368470468738163,9372610.0,6520.3,9691.1,52.6
United States,1993,265000000000.0,259000000000,259919000,27.731763084135583,9372610.0,6858.6,9957.7,51.26
United States,1994,270000000000.0,265000000000,263126000,28.07393031396804,9372610.0,7287.2,10358.9,52.87
United States,1995,275000000000.0,270000000000,266278000,28.41022938114357,9372610.0,7639.7,10637,52.65
United States,1996,281000000000.0,275000000000,269394000,28.742687469125464,9372610.0,8073.1,11038.3,51.88
United States,1997,287000000000.0,281000000000,272657000,29.090829555481346,9372610.0,8577.6,11529.2,52.2
United States,1998,292000000000.0,287000000000,275854000,29.431929846648902,9372610.0,9062.8,12045.8,54.23
United States,1999,298000000000.0,292000000000,279040000,29.77185650528508,9372610.0,9631.2,12623.4,53.88
United States,2000,304000000000.0,298000000000,282162411,30.104998607645044,9372610.0,10251,13138,53.27
United States,2001,310000000000.0,304000000000,284968955,30.404439638478504,9372610.0,10581.9,13263.4,53.69
United States,2002,316000000000.0,310000000000,287625193,30.687843941015363,9372610.0,10929.1,13488.4,53.21
United States,2003,322000000000.0,316000000000,290107933,30.952737071103996,9372610.0,11456.5,13865.5,53.26
United States,2004,328000000000.0,322000000000,292805298,31.240529372287977,9372610.0,12217.2,14399.7,53.1
United States,2005,334000000000.0,328000000000,295516599,31.52980855919536,9372610.0,13039.2,14901.3,53.64
United States,2006,340000000000.0,334000000000,298379912,31.835306494135573,9372610.0,13815.6,15315.9,54.25
United States,2007,347000000000.0,340000000000,301231207,32.139522182188315,9372610.0,14474.2,15623.9,53.65
United States,2008,353000000000.0,347000000000,304093966,32.444961008726494,9372610.0,14769.9,15643,52.29
United States,2009,358000000000.0,353000000000,306771529,32.73064055796625,9372610.0,14478.1,15236.3,52.39
United States,2010,364000000000.0,358000000000,309327143,33.00330889688144,9372610.0,15049,15649,52.98
United States,2011,369000000000.0,364000000000,311583481,33.24404632220907,9372610.0,15599.7,15891.5,53.18
United States,2012,375000000000.0,369000000000,313877662,33.48882136352628,9372610.0,16254,16254,55.28
United States,2013,380000000000.0,375000000000,316059947,33.72165778795874,9372610.0,16843.2,16553.3,52.43
United States,2014,386000000000.0,380000000000,318386329,33.96986847847078,9372610.0,17550.7,16932.1,52.54
United States,2015,391000000000.0,386000000000,320738994,34.22088340387576,9372610.0,18206,17390.3,54.4
United States,2016,396000000000.0,391000000000,323071755,34.46977469456213,9372610.0,18695.1,17680.3,54.92
United States,2017,401000000000.0,396000000000,325122128,34.68853691767821,9372610.0,19477.3,18076.7,54.55
United States,2018,407000000000.0,401000000000,326838199,34.871631167839055,9372610.0,20533.1,18609.1,53.52
United States,2019,412000000000.0,407000000000,328329953,35.03079216995052,9372610.0,21381,19036.1,52.68
United States,2020,417000000000.0,412000000000,331511512,35.37024500112562,9372610.0,21060.5,18509.1,54.37
